Dataset,Samples,IR,Replication_ACC,Replication_AUC,Replication_F1,Replication_AP,Replication_GMean,Paper_ACC,Paper_AUC,Paper_F1,Paper_AP,Paper_GMean
PSDAS,4424,4.57,0.7219,0.6391,0.397,0.2544,0.6254,0.7285,0.66,0.4,0.25,0.63
ESR,11500,4.0,0.911,0.891,0.794,0.663,0.89,0.9205,0.9,0.8,0.67,0.89
DCCC,30000,3.52,0.69,0.6358,0.4349,0.2987,0.6282,0.6832,0.64,0.42,0.29,0.62
BCW,569,1.68,0.9294,0.9273,0.9065,0.8539,0.9267,0.9437,0.94,0.9,0.84,0.92
ESDRP,520,1.6,0.9628,0.9622,0.9522,0.9233,0.962,0.9712,0.97,0.96,0.93,0.97
CB,208,1.14,0.7654,0.751,0.6762,0.7179,0.7164,0.7643,0.76,0.69,0.63,0.71
GLASS,196,5.76,0.9459,0.917,0.8276,0.7206,0.9129,0.9533,0.91,0.79,0.69,0.91
ILPD,583,2.49,0.6622,0.6323,0.4869,0.3718,0.6254,0.6672,0.64,0.49,0.37,0.63
SEED,210,2.0,0.9839,0.9879,0.9647,0.9319,0.9626,0.981,0.98,0.96,0.93,0.96
WINE,178,2.02,0.9978,0.9978,0.9439,0.9121,0.9599,0.9981,1.0,0.94,0.91,0.96
YEAST5,1484,32.73,0.9816,0.9312,0.7142,0.5387,0.8899,0.9832,0.93,0.71,0.54,0.89
YEAST5-ERL,1484,295.8,0.9988,0.605,0.47,0.4718,0.47,0.9993,0.61,0.47,0.47,0.47
CARGOOD,1728,24.04,0.9753,0.9932,0.9657,0.9932,0.9792,0.9821,0.98,0.95,0.98,0.97
CARVGOOD,1728,25.58,0.9994,0.9836,0.9598,0.9255,0.9977,0.9994,0.98,0.96,0.93,1.0
FLARE-F,1066,23.79,0.9362,0.6339,0.2011,0.1008,0.467,0.9343,0.67,0.22,0.1,0.48
