Dataset,Algorithm,Paper_ACC(%),Paper_AUC,Paper_F1,Paper_AP,Paper_GMean,Replication_ACC(%),Replication_AUC,Replication_F1,Replication_AP,Replication_GMean,Avg_Error,Status
PSDAS,CSRBoost,72.85,0.66,0.4,0.25,0.63,72.19,0.6391,0.397,0.2544,0.6254,1.5%,PASS
PSDAS,SMOTified-GAN,64.46,0.82,0.64,0.7,0.32,61.8,0.8118,0.6439,0.6778,0.3196,1.3%,PASS
PSDAS,GAN,63.8,0.82,0.64,0.69,0.32,61.94,0.8105,0.6426,0.6787,0.3198,1.2%,PASS
PSDAS,ADASYN,76.11,0.64,0.38,0.25,0.58,75.79,0.6223,0.3783,0.2509,0.5845,1.0%,PASS
PSDAS,Borderline-SMOTE,75.99,0.62,0.38,0.25,0.59,75.6,0.6177,0.3711,0.2472,0.5779,1.3%,PASS
PSDAS,SMOTE-Tomek,75.99,0.61,0.39,0.26,0.59,75.77,0.6216,0.3776,0.2502,0.5838,2.0%,PASS
PSDAS,SMOTE-ENN,72.67,0.65,0.42,0.27,0.64,72.96,0.6507,0.4198,0.2699,0.6398,0.1%,PASS
PSDAS,AdaBoost,75.72,0.65,0.38,0.25,0.58,76.11,0.6137,0.3656,0.2458,0.5682,2.7%,PASS
PSDAS,RUSBoost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PSDAS,HUE,74.25,0.71,0.49,0.32,0.74,74.49,0.724,0.4934,0.3209,0.723,1.1%,PASS
ESR,CSRBoost,92.05,0.9,0.8,0.67,0.89,91.1,0.891,0.794,0.663,0.89,0.8%,PASS
ESR,SMOTified-GAN,95.84,0.97,0.96,0.95,0.92,97.44,0.991,0.934,0.978,0.951,2.6%,PASS
ESR,GAN,95.89,0.97,0.96,0.95,0.92,97.43,0.991,0.935,0.978,0.951,2.6%,PASS
ESR,ADASYN,89.95,0.89,0.77,0.63,0.89,89.56,0.876,0.764,0.62,0.875,1.2%,PASS
ESR,Borderline-SMOTE,91.93,0.89,0.82,0.69,0.9,90.81,0.883,0.785,0.652,0.882,2.8%,PASS
ESR,SMOTE-Tomek,91.81,0.89,0.81,0.69,0.9,91.34,0.893,0.799,0.67,0.892,1.2%,PASS
ESR,SMOTE-ENN,91.72,0.89,0.81,0.68,0.9,91.43,0.897,0.802,0.674,0.897,0.7%,PASS
ESR,AdaBoost,94.18,0.91,0.85,0.76,0.91,93.78,0.898,0.842,0.744,0.895,1.3%,PASS
ESR,RUSBoost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESR,HUE,95.55,0.94,0.87,0.77,0.96,95.94,0.956,0.904,0.828,0.956,2.8%,PASS
DCCC,CSRBoost,68.32,0.64,0.42,0.29,0.62,69.0,0.6358,0.4349,0.2987,0.6282,1.9%,PASS
DCCC,SMOTified-GAN,81.68,0.95,0.82,0.88,0.82,81.84,0.917,0.818,0.866,0.883,2.6%,PASS
DCCC,GAN,80.89,0.94,0.81,0.87,0.81,81.66,0.917,0.817,0.861,0.882,2.8%,PASS
DCCC,ADASYN,72.27,0.62,0.41,0.29,0.59,72.67,0.6243,0.4137,0.293,0.5952,0.8%,PASS
DCCC,Borderline-SMOTE,72.45,0.62,0.41,0.29,0.59,72.67,0.626,0.4191,0.2993,0.5992,1.7%,PASS
DCCC,SMOTE-Tomek,72.49,0.62,0.41,0.29,0.59,72.86,0.6248,0.4158,0.2932,0.5885,0.8%,PASS
DCCC,SMOTE-ENN,70.52,0.65,0.45,0.31,0.64,68.74,0.6632,0.4673,0.3166,0.6617,2.8%,PASS
DCCC,AdaBoost,72.99,0.62,0.41,0.3,0.59,73.24,0.6297,0.422,0.3034,0.5939,1.3%,PASS
DCCC,RUSBoost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCCC,HUE,68.66,0.68,0.49,0.33,0.69,69.75,0.6986,0.5061,0.3439,0.6985,2.6%,PASS
BCW,CSRBoost,94.37,0.94,0.9,0.84,0.92,92.94,0.9273,0.9065,0.8539,0.9267,1.2%,PASS
BCW,SMOTified-GAN,94.17,0.99,0.9,0.99,0.94,91.86,0.9883,0.9078,0.9924,0.8843,1.9%,PASS
BCW,GAN,89.78,0.99,0.9,0.99,0.9,89.38,0.9351,0.8933,0.9406,0.8827,2.7%,PASS
BCW,ADASYN,94.38,0.94,0.93,0.88,0.94,94.27,0.9494,0.94,0.8722,0.9488,0.8%,PASS
BCW,Borderline-SMOTE,94.03,0.94,0.92,0.87,0.93,93.24,0.9463,0.928,0.8939,0.9289,1.0%,PASS
BCW,SMOTE-Tomek,94.38,0.94,0.93,0.9,0.94,93.15,0.9273,0.9314,0.9296,0.9266,1.5%,PASS
BCW,SMOTE-ENN,94.38,0.94,0.92,0.88,0.93,93.23,0.9413,0.91,0.878,0.9282,0.6%,PASS
BCW,AdaBoost,94.03,0.94,0.93,0.88,0.94,93.06,0.9384,0.9307,0.8803,0.9273,0.5%,PASS
BCW,RUSBoost,97.19,0.97,0.96,0.75,0.97,97.09,0.9659,0.96,0.7602,0.9674,0.4%,PASS
BCW,HUE,96.11,0.96,0.94,0.89,0.95,93.85,0.96,0.9383,0.9058,0.9311,1.3%,PASS
ESDRP,CSRBoost,97.12,0.97,0.96,0.93,0.97,96.28,0.9622,0.9522,0.9233,0.962,0.8%,PASS
ESDRP,SMOTified-GAN,91.38,0.98,0.91,0.97,0.91,92.51,0.9787,0.925,0.9617,0.9213,1.0%,PASS
ESDRP,GAN,90.38,0.97,0.9,0.94,0.9,90.54,0.9704,0.9054,0.9439,0.9033,0.3%,PASS
ESDRP,ADASYN,97.31,0.97,0.97,0.94,0.97,97.45,0.9753,0.9674,0.9451,0.9751,0.4%,PASS
ESDRP,Borderline-SMOTE,97.31,0.97,0.97,0.93,0.97,96.83,0.9718,0.9684,0.9282,0.9716,0.2%,PASS
ESDRP,SMOTE-Tomek,97.12,0.97,0.97,0.94,0.97,97.26,0.9732,0.9727,0.9415,0.9731,0.2%,PASS
ESDRP,SMOTE-ENN,94.42,0.95,0.93,0.87,0.94,93.31,0.9382,0.9174,0.8601,0.9375,1.0%,PASS
ESDRP,AdaBoost,97.5,0.98,0.97,0.95,0.98,97.58,0.9765,0.969,0.9477,0.9764,0.2%,PASS
